Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2006,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2007,3000000,6.7%,7,7,84,44960000,3
"Falling states, ethnic tensions plus aftermath of the Rwandan genocide. Most deaths were as a result of malnutrition and disease.",Some controversy over the death toll. This BBC article explains: http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,1998-2005,2008,http://news.bbc.co.uk/1/hi/world/africa/8471147.stm,Population of DR Congo 1998.,,,,False,CONGO WAR,MEDIUM COUNTRY,BBC,1998,Regional disruption and ethnic tensions after the Rwandan massacre triggered a wider conflict.,years,CIVIL WAR,territorial,http://en.wikipedia.org/wiki/First_Congo_War and http://en.wikipedia.org/wiki/Second_Congo_War,2008,3000000,6.7%,7,7,84,44960000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1962,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1963,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1964,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1965,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1966,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1967,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1968,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1969,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1970,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1971,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1972,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1973,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1974,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1975,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1976,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1977,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1978,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1979,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1980,2000000,8.1%,30,30,360,24693000,3
