"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Chronic kidney disease due to diabetes mellitus type 2,10 µg/g,Both,Both,,,,,,,,,,"1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)"
Chronic kidney disease due to hypertension,10 µg/g,Both,Both,,,,,,,,,,"1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)"
Chronic kidney disease due to glomerulonephritis,10 µg/g,Both,Both,,,,,,,,,,"1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)","1.015
(1.01 to 1.02)"
Chronic kidney disease due to other and unspecified causes,10 µg/g,Both,Both,,,,,,,,,,"1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)","1.015
(1.01 to 1.021)"
Occupational exposure to asbestos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larynx cancer,High exposure,Both,Males,,,,,,,,"1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)","1.38
(1.188 to 1.612)"
Larynx cancer,High exposure,Both,Females,,,,,,,,"1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)","1.385
(1.187 to 1.598)"
Larynx cancer,Low exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Larynx cancer,Low exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,"2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)","2.279
(1.741 to 2.936)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,"1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)","1.875
(1.589 to 2.208)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ovarian cancer,High exposure,Both,Both,,,,,,,,"1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)","1.811
(1.385 to 2.306)"
Ovarian cancer,Low exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Occupational exposure to arsenic,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Both,,,,,,,,"2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)","2.061
(1.521 to 2.553)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Both,,,,,,,,"1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)","1.749
(0.698 to 2.775)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Occupational exposure to benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute lymphoid leukaemia,High exposure,Both,Both,,,,,,,,"2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)"
Acute lymphoid leukaemia,Low exposure,Both,Both,,,,,,,,"1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)"
Acute lymphoid leukaemia,No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Chronic lymphoid leukaemia,High exposure,Both,Both,,,,,,,,"2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)"
Chronic lymphoid leukaemia,Low exposure,Both,Both,,,,,,,,"1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)"
Chronic lymphoid leukaemia,No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Acute myeloid leukaemia,High exposure,Both,Both,,,,,,,,"2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)"
Acute myeloid leukaemia,Low exposure,Both,Both,,,,,,,,"1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)"
Acute myeloid leukaemia,No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Chronic myeloid leukaemia,High exposure,Both,Both,,,,,,,,"2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)"
Chronic myeloid leukaemia,Low exposure,Both,Both,,,,,,,,"1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)"
Chronic myeloid leukaemia,No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Other leukaemia,High exposure,Both,Both,,,,,,,,"2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)","2.623
(1.222 to 3.975)"
Other leukaemia,Low exposure,Both,Both,,,,,,,,"1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)","1.626
(0.998 to 2.256)"
Other leukaemia,No exposure,Both,Both,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Occupational exposure to beryllium,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,"1.174
(1.086 to 1.269)","1.169
(1.065 to 1.276)","1.17
(1.073 to 1.274)","1.169
(1.073 to 1.269)","1.172
(1.081 to 1.271)","1.168
(1.07 to 1.276)","1.171
(1.071 to 1.274)","1.171
(1.075 to 1.273)","1.17
(1.073 to 1.271)","1.171
(1.072 to 1.271)","1.172
(1.081 to 1.276)","1.171
(1.076 to 1.27)","1.174
(1.079 to 1.276)","1.171
(1.072 to 1.273)","1.171
(1.072 to 1.273)","1.171
(1.072 to 1.273)","1.171
(1.072 to 1.273)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,"1.17
(1.082 to 1.262)","1.17
(1.076 to 1.277)","1.169
(1.072 to 1.277)","1.17
(1.077 to 1.275)","1.172
(1.075 to 1.274)","1.171
(1.078 to 1.276)","1.173
(1.074 to 1.276)","1.172
(1.074 to 1.273)","1.173
(1.081 to 1.277)","1.169
(1.074 to 1.269)","1.173
(1.077 to 1.282)","1.167
(1.069 to 1.269)","1.169
(1.073 to 1.274)","1.171
(1.068 to 1.279)","1.171
(1.068 to 1.279)","1.171
(1.068 to 1.279)","1.171
(1.068 to 1.279)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Occupational exposure to cadmium,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,"1.192
(1.097 to 1.292)","1.188
(1.083 to 1.287)","1.19
(1.102 to 1.295)","1.191
(1.092 to 1.304)","1.19
(1.091 to 1.298)","1.19
(1.092 to 1.297)","1.192
(1.096 to 1.298)","1.193
(1.096 to 1.296)","1.19
(1.089 to 1.293)","1.192
(1.089 to 1.297)","1.193
(1.088 to 1.3)","1.187
(1.095 to 1.29)","1.191
(1.095 to 1.289)","1.19
(1.088 to 1.296)","1.19
(1.088 to 1.296)","1.19
(1.088 to 1.296)","1.19
(1.088 to 1.296)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,"1.191
(1.087 to 1.295)","1.191
(1.099 to 1.29)","1.188
(1.093 to 1.293)","1.19
(1.092 to 1.302)","1.191
(1.089 to 1.292)","1.194
(1.098 to 1.297)","1.188
(1.091 to 1.3)","1.19
(1.095 to 1.291)","1.19
(1.096 to 1.294)","1.189
(1.095 to 1.29)","1.192
(1.095 to 1.296)","1.192
(1.09 to 1.298)","1.193
(1.097 to 1.297)","1.193
(1.1 to 1.301)","1.193
(1.1 to 1.301)","1.193
(1.1 to 1.301)","1.193
(1.1 to 1.301)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Occupational exposure to chromium,,,,,,,,,,,,,,,,,,,,,,,,,,,
