Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Lip and oral cavity cancer,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Lip and oral cavity cancer,17.7 Pack-Years,Both,Male,"3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)"
Lip and oral cavity cancer,17.7 Pack-Years,Both,Female,"3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)","3.19
(2.162 to 4.362)"
Lip and oral cavity cancer,35.4 Pack-Years,Both,Male,"3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)"
Lip and oral cavity cancer,35.4 Pack-Years,Both,Female,"3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)","3.754
(2.335 to 5.44)"
Lip and oral cavity cancer,53.1 Pack-Years,Both,Male,"4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)"
Lip and oral cavity cancer,53.1 Pack-Years,Both,Female,"4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)","4.017
(2.376 to 6.004)"
Lip and oral cavity cancer,70.8 Pack-Years,Both,Male,"5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)"
Lip and oral cavity cancer,70.8 Pack-Years,Both,Female,"5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)","5.517
(2.574 to 9.804)"
Lip and oral cavity cancer,88.5 Pack-Years,Both,Male,"7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)"
Lip and oral cavity cancer,88.5 Pack-Years,Both,Female,"7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)","7.27
(2.599 to 14.741)"
Nasopharynx cancer,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Nasopharynx cancer,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Nasopharynx cancer,10.7 Pack-Years,Both,Male,"1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)"
Nasopharynx cancer,10.7 Pack-Years,Both,Female,"1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)","1.879
(1.34 to 2.522)"
Nasopharynx cancer,21.4 Pack-Years,Both,Male,"1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)"
Nasopharynx cancer,21.4 Pack-Years,Both,Female,"1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)","1.992
(1.322 to 2.865)"
Nasopharynx cancer,32.1 Pack-Years,Both,Male,"2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)"
Nasopharynx cancer,32.1 Pack-Years,Both,Female,"2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)","2.297
(1.448 to 3.32)"
Nasopharynx cancer,42.9 Pack-Years,Both,Male,"2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)"
Nasopharynx cancer,42.9 Pack-Years,Both,Female,"2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)","2.662
(1.646 to 4.007)"
Nasopharynx cancer,53.6 Pack-Years,Both,Male,"3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)"
Nasopharynx cancer,53.6 Pack-Years,Both,Female,"3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)","3.377
(2.01 to 5.041)"
Nasopharynx cancer,64.3 Pack-Years,Both,Male,"4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)"
Nasopharynx cancer,64.3 Pack-Years,Both,Female,"4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)","4.466
(2.643 to 6.831)"
Other pharynx cancer,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Other pharynx cancer,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Other pharynx cancer,17.7 Pack-Years,Both,Male,"4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)"
Other pharynx cancer,17.7 Pack-Years,Both,Female,"4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)","4.792
(3.267 to 6.498)"
Other pharynx cancer,35.4 Pack-Years,Both,Male,"5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)"
Other pharynx cancer,35.4 Pack-Years,Both,Female,"5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)","5.255
(3.541 to 7.384)"
Other pharynx cancer,53.1 Pack-Years,Both,Male,"6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)"
Other pharynx cancer,53.1 Pack-Years,Both,Female,"6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)","6.588
(4.406 to 8.892)"
Other pharynx cancer,70.8 Pack-Years,Both,Male,"7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)"
Other pharynx cancer,70.8 Pack-Years,Both,Female,"7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)","7.21
(3.973 to 11.61)"
Other pharynx cancer,88.5 Pack-Years,Both,Male,"11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)"
Other pharynx cancer,88.5 Pack-Years,Both,Female,"11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)","11.149
(5.54 to 18.571)"
Oesophageal cancer,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Oesophageal cancer,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Oesophageal cancer,15 Pack-Years,Both,Male,"3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)"
Oesophageal cancer,15 Pack-Years,Both,Female,"3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)","3.038
(2.318 to 3.817)"
Oesophageal cancer,30 Pack-Years,Both,Male,"2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)"
Oesophageal cancer,30 Pack-Years,Both,Female,"2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)","2.778
(1.884 to 3.796)"
Oesophageal cancer,45 Pack-Years,Both,Male,"4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)"
Oesophageal cancer,45 Pack-Years,Both,Female,"4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)","4.471
(3.099 to 5.83)"
Oesophageal cancer,60 Pack-Years,Both,Male,"5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)"
Oesophageal cancer,60 Pack-Years,Both,Female,"5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)","5.327
(2.865 to 8.227)"
Oesophageal cancer,75 Pack-Years,Both,Male,"7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)"
Oesophageal cancer,75 Pack-Years,Both,Female,"7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)","7.326
(3.276 to 12.451)"
Oesophageal cancer,90 Pack-Years,Both,Male,"9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)"
Oesophageal cancer,90 Pack-Years,Both,Female,"9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)","9.593
(4.866 to 15.62)"
Stomach cancer,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Stomach cancer,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Stomach cancer,12.5 Pack-Years,Both,Male,"1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)"
Stomach cancer,12.5 Pack-Years,Both,Female,"1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)","1.427
(1.184 to 1.713)"
